"MS TRANSPORT 
SALARY MONTH OF SEPTEMBER 2026",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
S.no,Name,Designition,Bank Account number,Pre salary,Basic salary,"Total salary
","Adv 
salary","Etra
 peroid","No of 
days",One day salary,Deduction,Currnet Salary,"Pay able
salary","Paid
salay",Date,"Pending 
Salary",Note
1,Rida,English,24353535,4000,13000,17000,1600,5000,27,433.3333333,2900,10100,19100,15500,23-3-2026,3600,
2,Nisan,urdu,24353536,0,13000,13000,,0,30,433.3333333,0,13000,13000,13000,23-3-2026,0,
3,Saqib,Maths,24353537,700,27000,27700,,0,30,900,0,27000,27700,20000,23-3-2026,7700,
4,Kashif,Computer,24353538,0,3643,3643,,0,15,121.4333333,1821.5,1821.5,1821.5,1800,23-3-2026,21.5,
5,Asif,Commerce,24353539,0,5555,5555,,0,24,185.1666667,1111,4444,4444,4444,23-3-2026,0,
6,Rifaq,Islamyat,24353540,0,7000,7000,,1000,25,233.3333333,1166.666667,5833.333333,6833.333333,6833,23-3-2026,0.333333333,
7,Faisal,Maths,24353541,6000,7001,13001,,0,26,233.3666667,933.4666667,6067.533333,12067.53333,6000,23-3-2026,6067.533333,
8,kamran,Lab attendance,24353542,7000,7002,14002,,0,27,233.4,700.2,6301.8,13301.8,6000,23-3-2026,7301.8,
9,somira,Accountant,24353543,0,7003,7003,,0,28,233.4333333,466.8666667,6536.133333,6536.133333,6000,23-3-2026,536.1333333,
10,Amana,Office worker,24353544,0,7004,7004,,0,29,233.4666667,233.4666667,6770.533333,6770.533333,5000,23-3-2026,1770.533333,
TOTAL SALARY,,,,17700,97208,114908,1600,6000,261,3240.266667,9333.166667,87874.83333,111574.8333,84577,,26997.83333,
PAYABLE SALARY,,111574.8333,PAID SALARY,84577,,PENDING SALARY,,26997.83333,,,,,,,,,
,,,,,,,,,,,,,,,,,
PRINCIPAL SIGN,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
